Reference,bibtex_key,Common name,Clade,Taxonomic rank,Kingdom,Pseudo?,Root age,NTips,Total extant diversity,P extant sampling,Reference sampling,bibtex_sampling,Tree-building/dating approach,Notes,Notes 2,Filename,skip
Alencar et al 2016,alencar2016diversification,Vipers,Viperidae,Family,Animalia,Snakes,50,263,333,0.79,Alencar et al 2016,alencar2016diversification,Relaxed Bayesian clock (BEAST),,,Viperidae_Alencar2016.tree,1
Zaher et al 2019,zaher2019large,,Caenophidia,Infraorder,Animalia,Snakes (80%),56,1266,3283,0.3856229059,https://www.mdpi.com/2073-4425/13/7/1185#B1-genes-13-01185,charvat2022cytogenetic,Penalized likelihood (RAxML + treePL),,,Caenophidia_Zaher2019.tree,1
Esquerre et al 2018,esquerre2019mountains,Tree iguanas,Liolaemidae,Family,Animalia,"Reptiles comprise four orders: Testudines (turtles), Crocodilia (crocodilians), Squamata (lizards and snakes), and Rhynchocephalia (the tuatara). ",44,258,353,0.73,Esquerre et al 2018,esquerre2019mountains,Relaxed Bayesian clock (BEAST2),,,Liolaemidae_Esquerre2018.tree,1
Tonini et al. 2016,tonini2016fully,scaled reptiles,Squamata,Order,Animalia,"Reptiles comprise four orders: Testudines (turtles), Crocodilia (crocodilians), Squamata (lizards and snakes), and Rhynchocephalia (the tuatara). ",242.774,9755,9755,1,Tonini et al. 2016,tonini2016fully,"PASTIS. Maximum likelihood (RAxML), Divergence times with MrBayes 3.2","Summary tree: MCC using BEAST/treeannotator from first 900 posterior samples, with ""common ancestor heights""",Dryad,Squamata_Tonini2016.tree,1
Zheng & Wiens 2016,zheng2016combining,scaled reptiles,Squamata,Order,Animalia,"Reptiles comprise four orders: Testudines (turtles), Crocodilia (crocodilians), Squamata (lizards and snakes), and Rhynchocephalia (the tuatara). ",205,4162,9700,0.4290721649,Zheng & Wiens 2016,zheng2016combining,"Maximum likelihood (RaXML), GTR+Gamma+I, partitions. Time-calibrated with treePL, 13 fossil-based age constraints",,,Squamata_Zheng2016.tree,1
Bank & Bradler 2022,bank2022second,Stick insects,Phasmatodea,Order,Animalia,,179,513,3420,0.15,Bank & Bradler 2022,bank2022second,Relaxed Bayesian clock (BEAST2),Some topological constraints applied based on previous literature (B2 constraints set in paper). ,,Phasmatodea_Bank2022.tree,0
Jetz & Pyron 2018,jetz2018interplay,Amphibians,Lissamphibia,Subclass,Animalia,Lissamphibia,343,7238,7700,0.94,Jetz & Pyron 2018,jetz2018interplay,Relaxed Bayesian clock on fixed topology plus taxonomic grafting (EML-RAxML + MrBayes + PASTIS),"4061 species have molecular data, 3177 species only have taxonomic assignment","Summary tree: MCC using BEAST/treeannotator from first 900 posterior samples, with ""common ancestor heights""",Lissamphibia_Jetz2018.tree,1
Hutter et al 2017,hutter2017rapid,,Hyloidea,Superfamily,Animalia,"if this has better resolution for it's species, maybe graft...but likely just delete and use Jetz and Pyron",102,2318,3571,0.6491178941,Hutter et al 2017,hutter2017rapid,Relaxed Bayesian clock + grafting on backbone tree (BEAST2),Relative timetrees for each family estimated and then grafted on a backbone; absolute time tree produced with just few taxa per family,,Hyloidea_Hutter2017.tree,1
Portik et al 2023,portik2023frog,Anuran frogs,Anura,Order,Animalia,"Frog, Lissamphibia",179.34,5242,7579,0.6916479747,Portik et al 2023,portik2023frog,"Concatenated RAxML with partitions, and treePL for divergence time estimation",,,Anura_Portik2023.tree,0
Allio et al 2021,allio2021genome,Swallowtail butterfly,Papilionidae,Family,Animalia,Butterfly,55,408,570,0.7157894737,Yan et al 2024,yan2024phylogenetic,Relaxed Bayesian clock (BEAST),,,Papilionidae_Allio2021.tree,1
Chazot et al 2021,chazot2021conserved,Brush-footed butterflies,Nymphalidae,Family,Animalia,Butterfly,85,2866,6369,0.45,Chazot et al 2021,chazot2021conserved,Relaxed Bayesian clock + grafting on backbone tree (RAxML + BEAST2),,has negative branch length,Nymphalidae_Chazot2021.tree,1
Kawahara et al 2023,kawahara2023global,Butterflies,Rhopalocera,Suborder,Animalia,Butterfly,101.4,2244,19500,0.1150769231,Kawahara et al 2023,kawahara2023global,Gene tree estimation => IQ-TREE species tree estimation => divergence time estimation using treePL,"High genus coverage (92%), not so high species coverage. Taxa are sampled with the aim of covering the higher taxonomic diversity",,Rhopalocera_Kawahara2023.tree,0
Vallejos-Garrido et al 2023,vallejos2023importance,New world rats and mice,Sigmodontinae,Subfamily,Animalia,"Mammal, rodent",11,387,489,0.79,Vallejos-Garrido et al 2023,vallejos2023importance,Relaxed Bayesian clock (BEAST2),,,Sigmodontinae_VallejosGarrido2023.tree,1
Springer et al. 2012,springer2012macroevolutionary,Primates,Primates,Order,Animalia,Mammal,70.4,367,504,0.7281746032,Impending extinction crisis of the world’s primates: Why primates matter | Science Advances,estrada2017impending,"Maximum likelihood (RAxML), time tree with autocorrelated rates and soft-bounded constraints",,,Primates_Springer2012.tree,1
