"","name","height","N_total","treelength","ntips","muml","etaml","lambdaml","tree_netdiv","tree_lambda","tree_mu","tree_relext","inference","number_of_supported","type","N_per_time"
"1","Actinopterygii_Rabosky2018",368.027045,611.90482902658,213961.774174,11638,0.017795021271898,0.00248267460986738,0.127344200012878,0.0810793156240829,0.0922701120575103,0.0111907964334274,0.151137490380921,"empirical",470,"pooled",0.00285987920687628
"2","Actinopterygii_Rabosky2018",368.027045,154.314054812402,213961.774174,11638,0.017795021271898,0.00248267460986738,0.127344200012878,0.0810793156240829,0.0922701120575103,0.0111907964334274,0.151137490380921,"empirical",470,"strong support",0.00072122254270947
"3","Agaricomycetes_Varga2019",346.54655,808.473419355629,234243.243013,5135,1.55778623072431e-15,0.0037289296305853,0.0347103050152707,0.0428853578220219,0.0429908392097722,0.000105481387750296,0.00271943639839454,"empirical",34,"pooled",0.00345142685422418
"4","Agaricomycetes_Varga2019",346.54655,12.3310146223637,234243.243013,5135,1.55778623072431e-15,0.0037289296305853,0.0347103050152707,0.0428853578220219,0.0429908392097722,0.000105481387750296,0.00271943639839454,"empirical",34,"strong support",5.26419224040514e-05
"5","Anthophila_HenriquezPiskulich",120.000002,512.408500234868,64266.540857,4586,2.26559427325156e-15,0.00765946259017663,0.13147336009286,0.137767452282334,0.137883155994895,0.000115703712561724,0.00115210193979745,"empirical",124,"pooled",0.0079731769191535
"6","Anthophila_HenriquezPiskulich",120.000002,48.4362992672959,64266.540857,4586,2.26559427325156e-15,0.00765946259017663,0.13147336009286,0.137767452282334,0.137883155994895,0.000115703712561724,0.00115210193979745,"empirical",124,"strong support",0.000753678331234162
"7","Anura_Portik2023",179.341113,846.400382177302,68653.618999,5242,3.07157450322709e-15,0.0120385674717049,0.0783531294546372,0.0933392712872129,0.093453333617751,0.000114062330538162,0.00148687767883832,"empirical",22,"pooled",0.0123285617643788
"8","Anura_Portik2023",179.341113,11.9568081110726,68653.618999,5242,3.07157450322709e-15,0.0120385674717049,0.0783531294546372,0.0933392712872129,0.093453333617751,0.000114062330538162,0.00148687767883832,"empirical",22,"strong support",0.000174161366660754
"9","Aristolochiaceae_Allio2021",111.377810583,7.61675849641273,2079.2752549855,247,0.452981539428574,0.00333985917077838,0.460815092760466,0.120396061894387,0.315643446086504,0.195247384192117,0.667190155407056,"empirical",8,"pooled",0.00366317950360345
"10","Aristolochiaceae_Allio2021",111.377810583,2.56827204678427,2079.2752549855,247,0.452981539428574,0.00333985917077838,0.460815092760466,0.120396061894387,0.315643446086504,0.195247384192117,0.667190155407056,"empirical",8,"strong support",0.00123517655520898
"11","Asteraceae_Palazzesi2022",80.40912,83.145136473151,11987.2315437443,2723,1.89905108146643,0.0048394648233663,1.95942196353895,0.341359457801653,1.4106309262704,1.06927146846875,0.722019931056437,"empirical",135,"pooled",0.00693614169124324
"12","Asteraceae_Palazzesi2022",80.40912,38.9384728591662,11987.2315437443,2723,1.89905108146643,0.0048394648233663,1.95942196353895,0.341359457801653,1.4106309262704,1.06927146846875,0.722019931056437,"empirical",135,"strong support",0.00324832908391485
"13","Aves_Quintero2022",110.560272,1501.57553506429,88475.723524,9993,3.5079255930362e-15,0.0167287307858194,0.108921212271259,0.113116874145856,0.113232013691362,0.000115139545506231,0.00135377950399366,"empirical",35,"pooled",0.0169716106888571
"14","Aves_Quintero2022",110.560272,21.3442954747706,88475.723524,9993,3.5079255930362e-15,0.0167287307858194,0.108921212271259,0.113116874145856,0.113232013691362,0.000115139545506231,0.00135377950399366,"empirical",35,"strong support",0.000241244655874226
"15","Caryophyllales_Smithetal2017_align_w_shtest_treepl_3samp",111.000003,114.210608344309,60378.995777,2843,1.89083518124667e-15,0.00160359264921832,0.129180942167046,0.0725597274802585,0.0726723857746615,0.000112658294402967,0.00184484328689983,"empirical",156,"pooled",0.00189156190616563
"16","Caryophyllales_Smithetal2017_align_w_shtest_treepl_3samp",111.000003,37.519638026963,60378.995777,2843,1.89083518124667e-15,0.00160359264921832,0.129180942167046,0.0725597274802585,0.0726723857746615,0.000112658294402967,0.00184484328689983,"empirical",156,"strong support",0.000621402153913518
"17","Chondrichthyes_Stein2018",377.775009,136.246768560396,30486.924453,610,1.55778623072431e-15,0.00446243909799161,0.029025669863627,0.0273874323396062,0.0275029503374417,0.000115517997835466,0.00511115022709553,"empirical",3,"pooled",0.00446902306496808
"18","Chondrichthyes_Stein2018",377.775009,1.82162683498056,30486.924453,610,1.55778623072431e-15,0.00446243909799161,0.029025669863627,0.0273874323396062,0.0275029503374417,0.000115517997835466,0.00511115022709553,"empirical",3,"strong support",5.97510856757251e-05
"19","Cornales_Rose2018",111.262255,22.7580946959593,4698.854937,410,0.275190737256634,0.0064549946491775,0.293861467648581,0.0739580958289465,0.155149677552238,0.0811915817232919,0.59540771704887,"empirical",11,"pooled",0.0048433277896613
"20","Cornales_Rose2018",111.262255,6.17876866315782,4698.854937,410,0.275190737256634,0.0064549946491775,0.293861467648581,0.0739580958289465,0.155149677552238,0.0811915817232919,0.59540771704887,"empirical",11,"strong support",0.00131495199277266
"21","Cycadaceae_Liu2021",12.49716,15.5569930820434,352.523881,103,5.23515412914553e-15,0.0425149058755688,0.277405310179167,0.313335590514732,0.313451552723162,0.000115962208430482,0.000458478739865956,"empirical",1,"pooled",0.0441303239880178
"22","Cycadaceae_Liu2021",12.49716,0.467267304395116,352.523881,103,5.23515412914553e-15,0.0425149058755688,0.277405310179167,0.313335590514732,0.313451552723162,0.000115962208430482,0.000458478739865956,"empirical",1,"strong support",0.00132549120663719
"23","Ericales_Rose2018",110.117079,219.893616552764,34963.795199,4532,0.545026925966657,0.00859112595374127,0.545026925966681,0.15357477800025,0.31202532450395,0.1584505465037,0.57140530258131,"empirical",130,"pooled",0.00628918043082044
"24","Ericales_Rose2018",110.117079,51.7452835434424,34963.795199,4532,0.545026925966657,0.00859112595374127,0.545026925966681,0.15357477800025,0.31202532450395,0.1584505465037,0.57140530258131,"empirical",130,"strong support",0.00147996758500983
"25","Gesnerioideae_SerranoSerrano2017",48.447541978,112.589516709689,5042.93526254371,588,5.48907897806548e-15,0.0219672602568265,0.143091214070826,0.168159835120504,0.168275688327546,0.000115853207042778,0.000818545949515124,"empirical",4,"pooled",0.0223261872001302
"26","Gesnerioideae_SerranoSerrano2017",48.447541978,1.1639888666664,5042.93526254371,588,5.48907897806548e-15,0.0219672602568265,0.143091214070826,0.168159835120504,0.168275688327546,0.000115853207042778,0.000818545949515124,"empirical",4,"strong support",0.000230815746399106
"27","Lecanoromycetes_Nelsen2020",248.619304,210.555672658583,123981.267878,3373,2.90905447186495e-15,0.00159928427399915,0.0482275029776282,0.0505299599604118,0.0506448970356665,0.000114937075254706,0.00309152738498024,"empirical",93,"pooled",0.0016982861706639
"28","Lecanoromycetes_Nelsen2020",248.619304,23.3222169837916,123981.267878,3373,2.90905447186495e-15,0.00159928427399915,0.0482275029776282,0.0505299599604118,0.0506448970356665,0.000114937075254706,0.00309152738498024,"empirical",93,"strong support",0.000188110812084461
"29","Mammalia_AlvarezCarretero2022",202.33574821,552.34721594335,40901.0504002177,4705,3.98035506966247e-15,0.0133974068517807,0.146776627112865,0.136917698406486,0.137033166000515,0.00011546759402979,0.001149986193135,"empirical",70,"pooled",0.0135044750816573
