"","N_lambda","N_mu","N_both","N_lambda_ratio","N_mu_ratio","N_both_ratio","N_sum","type","tree_index","ntip"
"1",1.9075856621274,2.00791549384131,8.71647889414989,0.151012403008782,0.158954929146081,0.690032667845137,12.6319800501186,"estimate, all pooled",1,108
"2",5.7983115415132e-06,5.1306805944953e-06,2.43482219351401e-05,0.164364213393351,0.145438939258285,0.690196847348364,3.52772140711486e-05,"estimate, all pooled",2,739
"3",0.53391556619424,0.557991167885946,2.39193499068824,0.153254828541251,0.160165475922428,0.686579695536322,3.48384172476842,"estimate, all pooled",3,269
"4",1.02204899734285,0.964943694747632,4.27779941925791,0.163141725882884,0.154026450933572,0.682831823183545,6.2647921113484,"estimate, all pooled",5,88
"5",0.0235340069712192,0.0126470787061858,0.0787235497402051,0.204813381859548,0.11006587036477,0.685120747775682,0.11490463541761,"estimate, all pooled",6,732
"6",0.222307027816116,0.217660299358707,1.00042515289209,0.154337814791833,0.151111799298338,0.694550385909829,1.44039248006691,"estimate, all pooled",7,162
"7",1.27369565804799,1.25484737010735,5.63532506677139,0.15601619762077,0.153707452829517,0.690276349549713,8.16386809492673,"estimate, all pooled",8,579
"8",0.665611659267327,0.717727436095792,3.12755625843826,0.147556439921934,0.159109750903655,0.693333809174411,4.51089535380138,"estimate, all pooled",9,234
"9",0.00292887413881833,0.00157482270064712,0.00896059013169699,0.217529093452281,0.116962948280889,0.665507958266829,0.0134642869711625,"estimate, all pooled",10,222
"10",0.0930849119677465,0.0897095392377005,0.408818551488528,0.157340882542936,0.151635509749107,0.691023607707957,0.591613002693975,"estimate, all pooled",11,109
"11",0.00260094734451995,0.00240285555517754,0.0104869684210451,0.167903023720789,0.155115294482467,0.676981681796744,0.0154907713207426,"estimate, all pooled",12,105
"12",3.01446501337445e-06,4.97447594639001e-06,2.33642982858681e-05,0.0961452496106714,0.158659075300583,0.745195675088746,3.13532392456326e-05,"estimate, all pooled",13,386
"13",0.337230287292642,0.312665386098978,1.35223872704617,0.168435389361925,0.156166032625288,0.675398578012788,2.00213440043779,"estimate, all pooled",14,111
"14",6.80428648570051e-05,7.39208297749455e-05,0.000310185691586924,0.150487575413997,0.16348762605455,0.686024798531454,0.000452149386218875,"estimate, all pooled",15,549
"15",0.000109054909410689,0.000137598926799685,0.000604364579551425,0.128146356636792,0.161687366866805,0.710166276496403,0.000851018415761799,"estimate, all pooled",16,514
"16",0.447326940625557,0.621896425775574,2.56898471846039,0.12295254427224,0.170934814961043,0.706112640766718,3.63820808486152,"estimate, all pooled",17,461
"17",0.0057316767156898,0.00530601343786643,0.0240285680076266,0.163452761037235,0.151313932997277,0.685233305965489,0.0350662581611829,"estimate, all pooled",18,183
"18",2.26329600488197,2.98375830494226,13.5323595745248,0.120520055568306,0.158884527670427,0.720595416761267,18.7794138843491,"estimate, all pooled",19,309
"19",0.000721148347929784,0.000746379246835286,0.00324507960093767,0.153025346264245,0.158379261381233,0.688595392354522,0.00471260719570274,"estimate, all pooled",20,603
"20",0.00813180258374283,0.00855504741982462,0.0401863830595311,0.14298119072501,0.150423089370234,0.706595719904756,0.0568732330630985,"estimate, all pooled",22,302
"21",1.57738250668891,1.48273964231848,6.48238054100331,0.165300713862009,0.155382680045838,0.679316606092153,9.5425026900107,"estimate, all pooled",23,171
"22",0.000760959398159526,0.000410997616494315,0.00219978026492401,0.225687630755976,0.121894911262414,0.65241745798161,0.00337173727957785,"estimate, all pooled",24,394
"23",2.13571400418549e-06,4.25045656689455e-06,1.77608583646663e-05,0.0884462436297435,0.176023997743355,0.735529758626901,2.41470289357463e-05,"estimate, all pooled",25,339
"24",0.186287105543693,0.176912289243761,0.771879359588468,0.164118220718628,0.1558590437551,0.680022735526272,1.13507875437592,"estimate, all pooled",26,120
"25",3.10073215612813,3.1387501869192,13.9067543120205,0.153911234600142,0.155798337955572,0.690290427444285,20.1462366550678,"estimate, all pooled",27,1246
"26",4.18113023894939e-06,5.56615426234345e-06,2.48047751530714e-05,0.121009580348455,0.161094716726688,0.717895702924857,3.45520596543643e-05,"estimate, all pooled",28,526
"27",0.000238296150122049,0.000214790961247328,0.00095981336380289,0.168657420893708,0.152021295924003,0.679321283182289,0.00141290047517227,"estimate, all pooled",29,363
"28",0.00110541007461538,0.00123888323823243,0.00541194502875058,0.142518837860722,0.159727329624211,0.697753832515067,0.00775623834159838,"estimate, all pooled",30,238
"29",1.96499376168905e-05,1.06976398586358e-05,6.94213811383587e-05,0.196954422396424,0.107224130704187,0.695821446899389,9.97689586138849e-05,"estimate, all pooled",31,185
"30",0.931968815773872,1.01219143819054,4.46827595004762,0.145337713487235,0.157848188424432,0.696814098088334,6.41243620401203,"estimate, all pooled",32,523
"31",2.49552310534735,3.52651289013869,14.8745012892611,0.119422805383593,0.168760634457498,0.711816560158909,20.8965372847471,"estimate, all pooled",33,1300
"32",0.00216520692875614,0.00271929740276856,0.0126059972177894,0.123793301332805,0.155472808775755,0.72073388989144,0.0174905015493141,"estimate, all pooled",34,206
"33",5.18922985866204e-06,7.00518798962189e-06,2.83302950718827e-05,0.128050996163373,0.172862124980923,0.699086878855704,4.05247129201666e-05,"estimate, all pooled",35,710
"34",2.94243899185955,3.32321211654175,14.6792692005439,0.140484611469392,0.158664347609022,0.700851040921585,20.9449203089452,"estimate, all pooled",36,1207
"35",0.0062514070371888,0.00527777968580176,0.02458634895692,0.173094678494999,0.146135993456621,0.68076932804838,0.0361155356799106,"estimate, all pooled",37,340
"36",1.50658051041783,1.49420623879748,6.69936616482985,0.155315129953921,0.154039451958945,0.690645418087134,9.70015291404516,"estimate, all pooled",38,300
"37",2.14097174072014e-06,3.06863481952498e-06,1.36112655975362e-05,0.113755182160088,0.163044241191356,0.723200576648556,1.88208721577813e-05,"estimate, all pooled",39,312
"38",1.00669869580161e-06,9.24809884200972e-07,4.44849255749529e-06,0.157789736099705,0.144954501460115,0.69725576244018,6.38000113749786e-06,"estimate, all pooled",40,115
"39",0.0619659763826973,0.0610158987231249,0.279359661171094,0.154013371217155,0.151652000158219,0.694334628624626,0.402341536276917,"estimate, all pooled",41,169
"40",1.604949220038e-06,3.04994576196978e-06,8.0234877867615e-06,0.12658942779291,0.240562681975711,0.632847890231378,1.26783827687693e-05,"estimate, all pooled",42,285
"41",0.0211142037285063,0.0234623021277531,0.108129847773244,0.138266700937236,0.153643260873594,0.70809003818917,0.152706353629503,"estimate, all pooled",43,645
"42",0.000983156302475067,0.000991291720453886,0.0044708186217335,0.15253927520427,0.153801506610251,0.693659218185479,0.00644526664466246,"estimate, all pooled",44,115
"43",0.747560961353859,0.607015058928188,2.78487950677113,0.180594031381233,0.146641280468186,0.672764688150581,4.13945552705318,"estimate, all pooled",45,156
"44",2.31126476066772,2.91808297438268,13.3185750127542,0.124610437087425,0.157326672860338,0.718062890052237,18.5479227478046,"estimate, all pooled",46,1463
"45",6.51920676196125e-05,6.15706395054684e-05,0.000266189934192243,0.165903115960906,0.156687175581924,0.67740970845717,0.000392952641317324,"estimate, all pooled",47,658
"46",2.67750078600877,2.62098502394956,11.5324497867474,0.159082112258384,0.155724261963343,0.685193625778273,16.8309355967057,"estimate, all pooled",49,114
"47",0.00137988503675741,0.00160382678481446,0.00693760982868853,0.139082784068511,0.161654549802079,0.699262666129411,0.0099213216502604,"estimate, all pooled",50,313
"48",2.81388429612205e-06,4.14613882917215e-06,1.79183823518921e-05,0.113105492178846,0.166656132081061,0.720238375740093,2.48784054771863e-05,"estimate, all pooled",51,352
"49",0.324264540696345,0.467859979678838,1.92444936013114,0.119365257474944,0.172224279647288,0.708410462877769,2.71657388050632,"estimate, all pooled",52,353
"50",0.957018424675175,1.10419700272218,4.924538944932,0.136995716377595,0.158064103584276,0.704940180038129,6.98575437232936,"estimate, all pooled",53,3352
"51",0.332062495654889,0.345763529045398,1.58645353359814,0.146652604992128,0.152703551016127,0.700643843991745,2.26427955829843,"estimate, all pooled",54,441
"52",1.86358613745143,2.10839231497181,9.52345130197367,0.138090166179722,0.156230098140067,0.705679735680211,13.4954297543969,"estimate, all pooled",55,2514
"53",3.23721654996347e-06,5.03605322467839e-06,1.96688938832127e-05,0.115854183290974,0.180231326619646,0.703914490089381,2.79421636578546e-05,"estimate, all pooled",56,463
"54",0.00124568433305319,0.00103920401003895,0.00478127532488765,0.176288632925103,0.147067639368175,0.676643727706722,0.00706616366797979,"estimate, all pooled",57,437
"55",0.018082518454271,0.0183061711786213,0.0817883915438888,0.153012058465223,0.15490458045107,0.692083361083707,0.118177081176781,"estimate, all pooled",58,570
"56",0.478643508610019,0.532436843894666,2.24583035266773,0.146962429104939,0.163479104001557,0.689558466893504,3.25691070517242,"estimate, all pooled",59,425
"57",0.00226369755916972,0.00230991369492335,0.0102196817431067,0.153021883606187,0.156146011260684,0.690832105133129,0.0147932929971997,"estimate, all pooled",60,358
"58",0.00232693280968558,0.00141375067785127,0.00738466938531199,0.209155865551411,0.127074681945729,0.66376945250286,0.0111253528728488,"estimate, all pooled",61,270
"59",3.15378797405949,3.17077451954957,13.8112024444785,0.156626181511187,0.157469782215819,0.685904036272993,20.1357649380875,"estimate, all pooled",62,166
"60",0.00348019686793035,0.0040381969211916,0.0187833629794699,0.1323180386219,0.15353335355963,0.714148607818471,0.0263017567685919,"estimate, all pooled",63,905
"61",0.00877916703137433,0.00726778094148659,0.0338941511594835,0.17579042479841,0.145527052222597,0.678682522978992,0.0499410991323444,"estimate, all pooled",64,510
"62",3.49223787434455,3.87846505200106,16.6955763811291,0.145109172453587,0.161157651436234,0.693733176110179,24.0662793074747,"estimate, all pooled",65,810
"63",2.28628687353303,1.55134463084527,7.87227415504535,0.195243833727484,0.132481394467667,0.672274771804849,11.7099056594237,"estimate, all pooled",66,1715
"64",5.26985953171406e-06,5.29932698532832e-06,2.37110274423768e-05,0.153728898482154,0.154588503782434,0.691682597735413,3.42802139594192e-05,"estimate, all pooled",67,684
"65",0.915716865937081,0.609223028529918,3.11633189119849,0.197298694889031,0.131262088639475,0.671439216471494,4.64127178566549,"estimate, all pooled",68,607
"66",4.68610617478869,4.51714926105542,20.3026926373923,0.158819034153973,0.153092835717173,0.688088130128854,29.5059480732364,"estimate, all pooled",69,840
"67",1.18001240496302,1.032767683645,4.66259750789067,0.171628741607434,0.15021250384429,0.678158754548276,6.87537759649869,"estimate, all pooled",70,169
"68",0.960096091256345,0.879177656056263,3.99423764305802,0.164582877620017,0.150711569280129,0.684705553099854,5.83351139037063,"estimate, all pooled",71,2280
"69",2.44829149661203,1.86169459385844,8.75901106068088,0.187335835205714,0.142451220420874,0.670212944373412,13.0689971511514,"estimate, all pooled",72,483
