"","type","tree_index","ntip","Ntype","N"
"1","estimate, all pooled",1,108,"N_lambda",1.9075856621274
"2","estimate, all pooled",1,108,"N_mu",2.00791549384131
"3","estimate, all pooled",1,108,"N_both",8.71647889414989
"4","estimate, all pooled",1,108,"N_sum",12.6319800501186
"5","estimate, all pooled",1,108,"N_lambda_ratio",0.151012403008782
"6","estimate, all pooled",1,108,"N_mu_ratio",0.158954929146081
"7","estimate, all pooled",1,108,"N_both_ratio",0.690032667845137
"8","estimate, all pooled",2,739,"N_lambda",5.7983115415132e-06
"9","estimate, all pooled",2,739,"N_mu",5.1306805944953e-06
"10","estimate, all pooled",2,739,"N_both",2.43482219351401e-05
"11","estimate, all pooled",2,739,"N_sum",3.52772140711486e-05
"12","estimate, all pooled",2,739,"N_lambda_ratio",0.164364213393351
"13","estimate, all pooled",2,739,"N_mu_ratio",0.145438939258285
"14","estimate, all pooled",2,739,"N_both_ratio",0.690196847348364
"15","estimate, all pooled",3,269,"N_lambda",0.53391556619424
"16","estimate, all pooled",3,269,"N_mu",0.557991167885946
"17","estimate, all pooled",3,269,"N_both",2.39193499068824
"18","estimate, all pooled",3,269,"N_sum",3.48384172476842
"19","estimate, all pooled",3,269,"N_lambda_ratio",0.153254828541251
"20","estimate, all pooled",3,269,"N_mu_ratio",0.160165475922428
"21","estimate, all pooled",3,269,"N_both_ratio",0.686579695536322
"22","estimate, all pooled",5,88,"N_lambda",1.02204899734285
"23","estimate, all pooled",5,88,"N_mu",0.964943694747632
"24","estimate, all pooled",5,88,"N_both",4.27779941925791
"25","estimate, all pooled",5,88,"N_sum",6.2647921113484
"26","estimate, all pooled",5,88,"N_lambda_ratio",0.163141725882884
"27","estimate, all pooled",5,88,"N_mu_ratio",0.154026450933572
"28","estimate, all pooled",5,88,"N_both_ratio",0.682831823183545
"29","estimate, all pooled",6,732,"N_lambda",0.0235340069712192
"30","estimate, all pooled",6,732,"N_mu",0.0126470787061858
"31","estimate, all pooled",6,732,"N_both",0.0787235497402051
"32","estimate, all pooled",6,732,"N_sum",0.11490463541761
"33","estimate, all pooled",6,732,"N_lambda_ratio",0.204813381859548
"34","estimate, all pooled",6,732,"N_mu_ratio",0.11006587036477
"35","estimate, all pooled",6,732,"N_both_ratio",0.685120747775682
"36","estimate, all pooled",7,162,"N_lambda",0.222307027816116
