"","N_lambda","N_mu","N_both","N_lambda_ratio","N_mu_ratio","N_both_ratio","N_delta_mu","N_delta_lambda","N_sum","tree_index"
"1",0,0,1,0,0,1,0.149658784555785,-0.0576607650839353,1,1
"2",1,1,0,0.5,0.5,0,-0.0788527469506606,-0.118279120425991,2,2
"3",0,1,2,0,0.333333333333333,0.666666666666667,0.260877059055613,0.106209056407687,3,3
"4",0,1,0,0,1,0,-0.0384405100559568,0,1,4
"5",0,0,1,0,0,1,-0.0788527469506606,-0.118279120425991,1,5
"6",0,1,2,0,0.333333333333333,0.666666666666667,0.22046482216091,0.166827411749742,3,6
"7",0,0,1,0,0,1,-0.0788527469506606,-0.118279120425991,1,7
"8",2,0,3,0.4,0,0.6,0.228511531506446,-0.740237769345152,5,8
"9",1,1,0,0.5,0.5,0,0.149658784555785,0.224488176833678,2,9
"10",0,0,1,0,0,1,0.149658784555785,0.224488176833678,1,10
"11",0,1,0,0,1,0,-0.0384405100559568,0,1,11
"12",0,0,1,0,0,1,-0.0384405100559568,-0.118279120425991,1,12
"13",0,0,1,0,0,1,-0.0788527469506606,0.224488176833678,1,13
"14",0,0,1,0,0,1,-0.0384405100559568,0.224488176833678,1,14
"15",2,1,3,0.333333333333333,0.166666666666667,0.5,-0.194174277118531,0.347983169891345,6,15
"16",1,0,1,0.5,0,0.5,0.0499644678226103,0.0172859366499803,2,16
"17",1,2,4,0.142857142857143,0.285714285714286,0.571428571428571,0.121236710684111,-0.426826472753768,7,17
"18",0,0,2,0,0,1,0.0708060376051245,-0.115321530167871,2,18
"19",0,0,1,0,0,1,-0.0788527469506606,0.224488176833678,1,19
"20",0,0,3,0,0,1,0.120770505427735,0.109166646665807,3,20
"21",1,0,0,1,0,0,0,0.0749467017339156,1,21
"22",0,0,3,0,0,1,0.161182742322439,0.39131558858342,3,22
"23",0,0,1,0,0,1,-0.0788527469506606,0.0749467017339156,1,23
"24",0,2,1,0,0.666666666666667,0.333333333333333,0.120770505427735,0.0749467017339156,3,24
"25",1,0,0,1,0,0,0,-0.0576607650839353,1,25
"26",0,0,1,0,0,1,-0.0788527469506606,-0.0576607650839353,1,26
"27",2,1,5,0.25,0.125,0.625,0.0627593282595883,1.13972682081837,8,27
"28",1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.0115239577666535,0.299434878567593,3,28
"29",1,0,1,0.5,0,0.5,0.149658784555785,-0.115321530167871,2,29
"30",1,0,0,1,0,0,0,0.0749467017339156,1,30
"31",0,0,1,0,0,1,0.0499644678226103,-0.0576607650839353,1,31
"32",1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,-0.0768810201119137,0.0172859366499803,3,32
"33",0,0,8,0,0,1,-0.627523417351191,-1.17192818636253,8,33
"34",0,0,1,0,0,1,0.0499644678226103,0.224488176833678,1,34
"35",2,0,0,1,0,0,0,0.0172859366499803,2,35
"36",3,0,7,0.3,0,0.7,-0.0558048314173536,-0.17072401287825,10,36
"37",0,0,2,0,0,1,-0.0288882791280503,0.166827411749742,2,37
"38",0,0,2,0,0,1,0.0708060376051245,0.106209056407687,2,38
"39",1,0,0,1,0,0,0,-0.0576607650839353,1,39
"40",0,0,1,0,0,1,-0.0788527469506606,0.224488176833678,1,40
"41",1,0,0,1,0,0,0,-0.118279120425991,1,41
"42",0,1,3,0,0.25,0.75,0.170734973250345,0.0922326383838959,4,42
"43",0,0,1,0,0,1,-0.0788527469506606,-0.118279120425991,1,43
"44",0,1,0,0,1,0,0.149658784555785,0,1,44
"45",0,0,3,0,0,1,-0.0673287891840071,0.181155758141602,3,45
"46",1,1,6,0.125,0.125,0.75,0.61820580533533,-0.204943957810141,8,46
"47",1,1,0,0.5,0.5,0,0.149658784555785,-0.0576607650839353,2,47
"48",0,0,1,0,0,1,-0.0788527469506606,-0.118279120425991,1,48
"49",1,0,1,0.5,0,0.5,-0.0384405100559568,0.166827411749742,2,49
"50",0,1,1,0,0.5,0.5,0.0708060376051245,0.0749467017339156,2,50
"51",0,0,3,0,0,1,0.161182742322439,0.374381580301509,3,51
"52",1,0,1,0.5,0,0.5,-0.0384405100559568,0.166827411749742,2,52
"53",1,3,5,0.111111111111111,0.333333333333333,0.555555555555556,-0.104263777657594,-0.351879771019852,9,53
"54",1,0,2,0.333333333333333,0,0.666666666666667,0,-0.175939885509926,3,54
"55",1,5,5,0.0909090909090909,0.454545454545455,0.454545454545455,0.297580461184869,-0.175587957141857,11,55
"56",1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,-0.117293257006617,-0.175939885509926,3,56
"57",0,1,1,0,0.5,0.5,-0.0288882791280503,0.0749467017339156,2,57
"58",2,2,2,0.333333333333333,0.333333333333333,0.333333333333333,-0.146181536134668,0.167179340117812,6,58
"59",0,1,3,0,0.25,0.75,-0.155733767062574,-0.161611539118066,4,59
"60",1,0,3,0.25,0,0.75,0.448976353667355,0.241774113483658,4,60
"61",0,1,1,0,0.5,0.5,-0.0288882791280503,-0.118279120425991,2,61
"62",0,0,1,0,0,1,0.149658784555785,-0.118279120425991,1,62
"63",0,2,2,0,0.5,0.5,0.0499644678226103,0.166827411749742,4,63
"64",0,1,2,0,0.333333333333333,0.666666666666667,0.0323655275491676,0.299434878567593,3,64
"65",1,1,2,0.25,0.25,0.5,-0.228511531506446,-0.149541475099762,4,65
"66",2,2,7,0.181818181818182,0.181818181818182,0.636363636363636,-0.271521502486821,0.0397877459316369,11,66
"67",0,1,2,0,0.333333333333333,0.666666666666667,-0.155733767062574,-0.236558240851982,3,67
"68",0,0,3,0,0,1,0.0708060376051245,0.0172859366499803,3,68
"69",0,0,6,0,0,1,-0.184622046190625,0.198441694791583,6,69
"70",0,0,1,0,0,1,-0.0384405100559568,0.0749467017339156,1,70
"71",3,0,7,0.3,0,0.7,0.647328703375426,-0.0237927485201129,10,71
"72",1,0,1,0.5,0,0.5,-0.0384405100559568,-0.0576607650839353,2,72
"73",0,1,0,0,1,0,0.149658784555785,0,1,73
"74",0,0,3,0,0,1,0.120770505427735,-0.100993183776011,3,74
"75",5,4,8,0.294117647058824,0.235294117647059,0.470588235294118,-0.0313262112231738,-1.79980201579793,17,75
"76",0,0,1,0,0,1,-0.0788527469506606,0.0749467017339156,1,76
"77",0,0,1,0,0,1,-0.0384405100559568,-0.0576607650839353,1,77
"78",0,2,2,0,0.5,0.5,-0.0653570623452602,0.448976353667355,4,78
"79",0,0,2,0,0,1,0.199623252378395,0.166827411749742,2,79
"80",0,0,1,0,0,1,-0.0384405100559568,0.224488176833678,1,80
"81",0,0,1,0,0,1,0.0499644678226103,-0.118279120425991,1,81
"82",0,0,1,0,0,1,-0.0384405100559568,0.0749467017339156,1,82
"83",0,0,1,0,0,1,-0.0384405100559568,-0.0576607650839353,1,83
"84",1,1,3,0.2,0.2,0.6,0.141612075210249,-0.0697308291022394,5,84
"85",0,0,1,0,0,1,-0.0384405100559568,-0.0576607650839353,1,85
"86",0,0,2,0,0,1,-0.157705493901321,-0.0433324186920753,2,86
"87",1,1,2,0.25,0.25,0.5,0.0323655275491676,-0.040374828433955,4,87
"88",1,0,0,1,0,0,0,0.224488176833678,1,88
"89",0,0,1,0,0,1,-0.0384405100559568,-0.118279120425991,1,89
"90",0,0,2,0,0,1,0.111218274499828,0.0172859366499803,2,90
"91",1,0,5,0.166666666666667,0,0.833333333333333,-0.0673287891840071,-0.127391594186175,6,91
"92",0,1,1,0,0.5,0.5,0.0708060376051245,-0.0576607650839353,2,92
"93",0,0,1,0,0,1,0.149658784555785,0.0749467017339156,1,93
"94",0,0,1,0,0,1,0.0499644678226103,-0.118279120425991,1,94
"95",1,0,1,0.5,0,0.5,0.149658784555785,-0.0433324186920753,2,95
"96",1,0,4,0.2,0,0.8,-0.105769299239964,0.184113348399723,5,96
"97",1,0,4,0.2,0,0.8,0.188099294611742,-0.0407267568020241,5,97
"98",0,0,4,0,0,1,-0.155733767062574,0.0172859366499803,4,98
"99",0,0,1,0,0,1,0.0499644678226103,-0.118279120425991,1,99
"100",0,0,1,0,0,1,-0.0788527469506606,0.224488176833678,1,100
"101",1,0,0,1,0,0,0,-0.118279120425991,1,101
"102",0,2,3,0,0.4,0.6,-0.0849277294574498,-0.040374828433955,5,102
"103",1,0,0,1,0,0,0,0.224488176833678,1,103
"104",0,0,2,0,0,1,0.0999289356452207,0.299434878567593,2,104
"105",0,3,2,0,0.6,0.4,-0.225034283085328,0.448976353667355,5,105
